 BadLandings	48	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	234,5°]		 Bad Chance	0,0168172629203878%
 BadLandings	49	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	235°]		 Bad Chance	0,0171531990716269%
 BadLandings	50	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	235,5°]		 Bad Chance	0,0174885712187086%
 BadLandings	51	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	236°]		 Bad Chance	0,0178233807808039%
 BadLandings	52	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	236,5°]		 Bad Chance	0,0181576291723264%
 BadLandings	53	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	237°]		 Bad Chance	0,0184913178029523%
 BadLandings	54	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	237,5°]		 Bad Chance	0,0188244480776404%
 BadLandings	55	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	238°]		 Bad Chance	0,0191570213966514%
 BadLandings	56	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	238,5°]		 Bad Chance	0,0194890391555678%
 BadLandings	57	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	239°]		 Bad Chance	0,0198205027453135%
 BadLandings	58	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	239,5°]		 Bad Chance	0,0201514135521731%
 BadLandings	59	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	240°]		 Bad Chance	0,020481772957811%
 BadLandings	60	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	240,5°]		 Bad Chance	0,0208115823392912%
 BadLandings	61	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	241°]		 Bad Chance	0,0211408430690959%
 BadLandings	62	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	241,5°]		 Bad Chance	0,0214695565151447%
 BadLandings	63	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	242°]		 Bad Chance	0,0217977240408136%
 BadLandings	64	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	242,5°]		 Bad Chance	0,022125347004954%
 BadLandings	65	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	243°]		 Bad Chance	0,022452426761911%
 BadLandings	66	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	243,5°]		 Bad Chance	0,0227789646615425%
 BadLandings	67	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	244°]		 Bad Chance	0,0231049620492377%
 BadLandings	68	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	244,5°]		 Bad Chance	0,0234304202659353%
 BadLandings	69	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	245°]		 Bad Chance	0,0237553406481421%
 BadLandings	70	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	245,5°]		 Bad Chance	0,0240797245279514%
 BadLandings	71	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	246°]		 Bad Chance	0,024403573233061%
 BadLandings	72	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	246,5°]		 Bad Chance	0,0247268880867914%
 BadLandings	73	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	247°]		 Bad Chance	0,0250496704081037%
 BadLandings	74	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	247,5°]		 Bad Chance	0,0253719215116179%
 BadLandings	75	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	248°]		 Bad Chance	0,0256936427076303%
 BadLandings	76	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	248,5°]		 Bad Chance	0,0260148353021315%
 BadLandings	77	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	249°]		 Bad Chance	0,026335500596824%
 BadLandings	78	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	249,5°]		 Bad Chance	0,0266556398891399%
 BadLandings	79	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	250°]		 Bad Chance	0,0269752544722582%
 BadLandings	80	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	250,5°]		 Bad Chance	0,0272943456351224%
 BadLandings	81	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	251°]		 Bad Chance	0,0276129146624577%
 BadLandings	82	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	251,5°]		 Bad Chance	0,0279309628347884%
